Questions,Answers,Options
What is the average of first five multiples of 12?,36,"36, 38, 40, 42"
What is the difference in the place value of 5 in the numeral 754853?,49950,"49500, 49950, 45000, 49940"
What is the compound interest on Rs. 2500 for 2 years at rate of interest 4% per annum?,Rs. 204,"Rs. 180, Rs. 204, Rs. 210, Rs. 220"
Sohan started a business with a capital of Rs. 80000. After 6 months Mohan joined as a partner by investing Rs. 65000. After one year they earned total profit Rs. 20000. What is share of Sohan in the profit?,Rs. 5777.7,"Rs. 5222.2, Rs. 5777.7, Rs. 6222.2, Rs. 6777.7"
"A mother is twice as old as her son. If 20 years ago, the age of the mother was 10 times the age of the son, what is the present age of the mother?",45 years,"38 years, 40 years, 43 years, 45 years"
"If January 1, 1996, was Monday, what day of the week was January 1, 1997?",Wednesday,"Thursday, Wednesday, Friday, Sunday"
"The speed of a boat in still water is 5km/hr. If the speed of the boat against the stream is 3 km/hr, what is the speed of the stream?",2 km/hr,"1.5 km/hr, 2 km/hr, 2.5 km/hr, 1 km/hr"
How many times the hands of a clock coincide in a day?,22,"24, 22, 23, 21"
"Two ships are sailing in the sea on the two sides of a lighthouse. The angles of elevation of the top of the lighthouse observed from the ships are 30° and 45° respectively. If the lighthouse is 100m high, find the distance between the two ships.",157.80 m,"155.80 m, 157.80 m, 159. 80 m, 161.80 m"
40 % of 280 =?,112,"112, 116, 115, 120"
"A pipe can fill a tank in 6 hours and another pipe can empty the tank in 12 hours. If both the pipes are opened at the same time,the tank can be filled in",12 hours,"10 hours, 12 hours, 14 hours, 16 hours"
"A shopkeeper sold an article for Rs. 2500. If the cost price of the article is 2000, find the profit percent.",25%,"23%, 25%, 27%, 29%"
A running man crosses a bridge of length 500 meters in 4 minutes. At what speed he is running?,7.5 km/s,"8.5 km/s, 7.5 km/s, 9.5 km/s, 6.5 km/s"
"If Suresh borrows Rs. 36000 from Mahesh at rate of interest 6% S.I, at the end of six years how much interest Suresh has to pay along with principal amount?",Rs. 12960,"Rs. 12560, Rs. 12960, Rs. 13500, Rs. 14500"
A train moving at speed of 90 km/hr crosses a pole in 7 seconds. Find the length of the train.,175 m,"150 m, 165 m, 175 m, 170 m"
"Worker A completes a task in 8 days and worker B completes the same task in 10 days. If both A and B work together, in how many days they will complete the task?",7 days,"5 days, 7 days, 6 days, 9 days"
A 60 liter mixture of milk and water contains 10% water. How much water must be added to make water 20% in the mixture? ,7.5 liters,"8 liters, 7.5 liters, 7 liters,  6.5 liters"
The value of 5^(1/4) x (125)^0.25 is,25,"5,  10, 25, 17"
What is the HCF of 1095 and 1168?,73,"37, 73, 43, 83"
What is the area of a triangle with base 5 meters and height 10 meters?,25 square meters,"20 square meters, 35 square meters, 25 square meters, 40 square meters"
A: B: C is in the ratio of 3: 2: 5. How much money will C get out of Rs 1260?,None of these,"252, 125, 503, None of these"
"In a kilometer race, A beats B by 40 meters or by 5 seconds. What is the time taken by A over the course?",2 minutes,"1 minute 57 seconds,  2 minutes, 1.5 minutes, None of these."
What is the probability of getting an even number when a dice is rolled?,0.50,"1/5, 1/2, 1/3, 1/4"
"Find the missing term of the given expression:
18.834 + 818.34 -? = 618.43 ",218.744,"217.644, 218.744, 217.744, 217.844"
What is the market price of a 9% share when a person gets 180 by investing Rs. 4000? ,200,"150, 200, 250, 300"
"If 15 men can reap the crops of a field in 28 days, in how many days will 5 men reap it?",60 days,"50 days, 60 days, 84 days, 9.333 days"
The true discount on a bill of Rs. 2700 is Rs. 200. What is the banker's discount?,Rs. 212,"Rs. 210, Rs. 212, Rs. 216, Rs. 218"
Find the logarithm of 1/256 to the base 2√2.,-5.333333333,"16, 13/5, -16/3, 12"
"If 30% of a certain number is 12.6, what is the number?",42,"24, 42, 23, 32"
"Complete the series 2, 5, 9, 19, 37.......",75,"76, 74, 75, None of these."
"In what ways the letters of the word ""RUMOUR"" can be arranged?",180,"180, 150, 200, 230"
"Complete the series 1,6,13,22,33,..",46,"46,48,49,51"
The day after the day after tomorrow is four days before Monday. What day is it today?,Monday,"Monday,Tuesday,Wednesday,Thursday"
"6, 12, 1, 13, 5 is to flame as 2, 12, 15, 1, 20 is to ?",bloat,"voice,bald,bloat,castle"
"A study of native born residents in Newland found that two-thirds of the children developed considerable levels of nearsightedness after starting school, while their illiterate parents and grandparents, who had no opportunity for formal schooling, showed no signs of this disability. If the above statements are true, which of the following conclusions is most strongly supported by them?",The nearsightedness in the children is caused by the ...........visual stress required by reading and other class work.,"Only people who have the opportunity for formal ...........schooling develop nearsightedness,The nearsightedness in the children is caused by the ...........visual stress required by reading and other class work,Both A and B,None of the above"
"In alphabet series, some alphabets are missing which are given in that order as one of the alternatives below it. Choose the correct alternative.G4T, J10R, M20P, P43N, S90L",J10R,"G4T,J10R,M20P,P43N"
